        1948        2025
 1995   1.03   0.05   0.61   1.13   0.72   0.02   1.11  -0.92   1.90  -0.32   1.07 -99.90
 1996   0.26   0.27   2.41   0.07   1.15  -0.96  -0.17   0.92  -0.02  -0.54   1.61 -99.90
 1997   0.22  -0.03  -0.06   1.70   2.43  -0.56  -1.32  -0.08   0.36   0.10   0.65 -99.90
 1998   0.62  -0.33   1.31  -0.49  -1.36   0.23   0.12  -1.67  -0.52  -1.27  -0.52 -99.90
 1999  -0.89  -1.12  -0.73  -0.57  -0.69  -1.44   0.34   0.32  -0.44  -0.24  -1.33 -99.90
 2000  -0.92  -0.55  -0.40   0.08  -0.62  -0.24  -1.26   0.63   0.49  -0.72   0.20 -99.90
 2001  -0.90   0.26  -1.16   0.06  -1.42   0.55  -1.30  -1.17  -0.46  -0.04  -0.33 -99.90
 2002  -0.11  -0.89   1.99   0.45   1.52  -0.20  -0.69  -0.07  -0.40   1.77   2.05 -99.90
 2003   2.07   0.94   0.56   0.34  -0.57   0.17  -0.14  -1.46  -0.70   0.85  -0.11 -99.90
 2004   0.66  -0.50  -1.28   1.23   1.92   3.36   1.19   0.07  -2.21  -0.71  -0.26 -99.90
 2005   0.73  -0.29   0.31   0.81   0.09   1.43  -1.11  -0.60  -1.98  -1.60   0.35 -99.90
 2006  -1.07   0.57   0.20  -1.57  -0.31  -0.49  -0.46   0.13   0.47   0.97  -0.38 -99.90
 2007  -1.14   0.93  -1.27  -0.19  -0.67   0.00   0.49  -0.67  -1.29  -1.96   0.68 -99.90
 2008  -1.25  -0.40  -1.62  -0.50   0.21  -1.13  -1.13  -0.36  -0.11  -1.00   0.65 -99.90
 2009  -0.18   0.32  -1.12   0.49   1.31  -0.39   1.65  -1.39  -1.02   0.70  -1.62 -99.90
 2010  -0.58  -0.51  -1.63  -1.21  -0.15   1.50  -0.22  -1.48  -0.34  -0.58   0.27 -99.90
 2011  -0.42  -0.12  -0.03  -0.63  -1.18  -0.48  -2.23  -0.67  -0.53  -0.81  -1.34 -99.90
 2012  -1.92  -0.33  -2.59   0.31  -1.46  -0.95  -1.01   0.63   0.16   0.58   0.12 -99.90
 2013   0.12  -0.88   0.70   1.24  -0.26   1.68   0.93  -1.09  -1.44   0.99   1.16 -99.90
 2014   1.11   0.31   1.24   0.05   0.77  -0.69   0.33  -1.03   0.20  -0.66   3.21 -99.90
 2015   1.27   1.18   1.13  -0.35   0.49   1.72   0.23  -0.28  -1.38   0.33  -0.94 -99.90
 2016  -0.35   0.23   0.24   1.47   0.14   1.26  -0.36  -0.42  -1.41  -0.84  -1.43 -99.90
 2017   0.39   0.21  -1.04   1.04  -0.72   0.50   0.00  -1.65  -0.46  -0.58   0.41 -99.90
 2018   0.66   0.23   0.30  -0.18  -0.98   0.05  -0.16  -0.78  -0.83   1.17   1.42 -99.90
 2019   1.07   1.20   2.11   0.67   0.32   1.74   0.10  -1.18  -1.50  -0.47   1.93 -99.90
 2020  -0.60  -1.79   0.44   1.54   0.04  -0.69  -1.97  -2.39   0.06   0.57  -0.66 -99.90
 2021  -0.71  -0.80  -1.29   0.80   0.00  -0.26  -1.28  -1.82  -1.89  -2.42   0.34 -99.90
 2022   0.51  -0.90   0.35  -0.73  -0.34  -0.04  -1.64  -1.11  -0.81  -0.06   0.42 -99.90
 2023   1.36  -0.47   0.39  -0.67  -0.79  -1.92   0.76  -1.16  -2.58   0.31   0.39 -99.90
 2024   0.08  -0.51   0.47  -0.33  -0.95   1.25  -0.49  -2.62  -2.75  -1.78  -0.59 -99.90
 2025  -0.35   0.58   0.67 -99.90 -99.90 -99.90 -99.90 -99.90 -99.90 -99.90 -99.90 -99.90
   -99.9
  EP/NP Index  from CPC
 https://psl.noaa.gov/data/climateindices/list/for info
